id,name,price,type
51,item51,51000,1
52,item52,52000,1
53,item53,53000,1
54,item54,54000,1
55,item55,55000,1
56,item56,56000,1
57,item57,57000,1
58,item58,58000,1
59,item59,59000,1
60,item60,60000,1
61,item61,61000,2
62,item62,62000,2
63,item63,63000,2
64,item64,64000,2
65,item65,65000,2
66,item66,66000,2
67,item67,67000,2
68,item68,68000,2
69,item69,69000,2
70,item70,70000,2
71,item71,71000,3
72,item72,72000,3
73,item73,73000,3
74,item74,74000,3
75,item75,75000,3
76,item76,76000,3
77,item77,77000,3
78,item78,78000,3
79,item79,79000,3
80,item80,80000,3
